TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap,trans_dbid,trans_derating_factor,trans_terrain_multiplier,trans_new_build_allowed
25-26,TRE,TRE_WEST,694.9819646586291,0.943376254132344,16529.0,1,0.95,5.82289202625462,1
25-20,TRE,SPPS,501.3042951289656,0.9578052407961624,12837.009638949476,2,0.95,6.304859193276388,1
26-20,TRE_WEST,SPPS,594.5912331781975,0.9661112536396236,9558.684805731456,3,0.95,4.747089085728959,1
4-23,FRCC,SRSE,930.705776696937,0.922862516082419,4199.0493311540995,4,0.95,7.086784525178094,1
9-7,MISW,MISE,1338.0895372438338,0.9095498714554684,0.0,5,0.95,6.466021572678451,1
9-13,MISW,PJMC,577.3769837220765,0.9443337093609498,5424.444315747618,6,0.95,7.291640625126849,1
9-6,MISW,MISC,1370.4981771620598,0.8979094653249757,1655.0,7,0.95,6.133980527145941,1
9-19,MISW,SPPN,1014.1486283848258,0.93290953042876,5512.0,8,0.95,6.103009338317438,1
9-18,MISW,SPPC,1195.0293103479462,0.9225993318813966,485.95869984116734,9,0.95,5.611531201850964,1
7-6,MISE,MISC,993.3851724175372,0.9259966673153563,4647.797619760473,10,0.95,5.756288579648535,1
7-16,MISE,PJMW,672.2944948093907,0.9124339212689138,2662.0,11,0.95,7.383672170631964,1
13-6,PJMC,MISC,626.2046711986147,0.9533516120098756,5244.0,12,0.95,5.576863763191312,1
13-16,PJMC,PJMW,484.9526117173539,0.9263947470467948,4751.145647889445,13,0.95,7.287667313154664,1
6-19,MISC,SPPN,919.2234841721058,0.9410931721523929,0.0,14,0.95,5.443150713012193,1
6-18,MISC,SPPC,696.0754685319118,0.9481500944878908,5994.991794289182,15,0.95,5.762161635540928,1
6-20,MISC,SPPS,1164.3004320004338,0.9271267398789302,23139.17825642712,16,0.95,4.7990013663085955,1
6-8,MISC,MISS,1432.2313664952487,0.911854678111352,1039.0,17,0.95,4.461702894165379,1
6-16,MISC,PJMW,636.7767278564246,0.8808216794997143,13447.533245465633,18,0.95,7.734763007600921,1
6-22,MISC,SRCE,807.5788459671032,0.8994314050331473,3745.0,19,0.95,6.922790698208922,1
19-18,SPPN,SPPC,261.19343417595013,0.9805410901794434,1714.8012654043514,20,0.95,5.833467155825057,1
19-20,SPPN,SPPS,679.4249275747745,0.9612727791748048,8074.0544258619875,21,0.95,4.614732309396483,1
18-20,SPPC,SPPS,455.0277413171593,0.96610043560791,7515.318620265813,22,0.95,5.693699308552418,1
18-8,SPPC,MISS,1264.309793619994,0.927934340576172,0.0,23,0.95,3.7872811794974663,1
20-8,SPPS,MISS,1083.4402589451677,0.9382468606952876,45062.96267749411,24,0.95,3.948495054426438,1
20-24,SPPS,SRSG,1530.6511537017682,0.8724003059946697,12278.06951125668,25,0.95,3.9566108548460015,1
8-23,MISS,SRSE,825.7437764420143,0.9483456161651612,20096.175736239853,26,0.95,6.557821057989389,1
8-22,MISS,SRCE,910.5740119711644,0.943088938652119,4092.0,27,0.95,5.6433801483442,1
23-21,SRSE,SRCA,750.9564568673487,0.8963313736775718,1400.0,28,0.95,8.754192090991332,1
23-22,SRSE,SRCE,808.9930595294763,0.9397319224320264,3196.0,29,0.95,7.3238542593485585,1
21-14,SRCA,PJMD,525.2547915890101,0.8886073669284953,1000.0,30,0.95,9.273484750509532,1
21-16,SRCA,PJMW,900.2912298442393,0.8579852671144543,1219.0,31,0.95,7.984332191815342,1
21-22,SRCA,SRCE,1047.313910703395,0.8844974272974392,1734.8479750905558,32,0.95,7.389267647721215,1
14-16,PJMD,PJMW,493.7545177764829,0.901200226564808,6930.0,33,0.95,10.383702291057975,1
14-15,PJMD,PJME,139.26433395480618,0.9518681721217892,6616.278841701966,34,0.95,17.57218716041102,1
16-15,PJMW,PJME,482.9870637110516,0.9154459895476824,18504.477367491432,35,0.95,10.683913109146305,1
16-22,PJMW,SRCE,542.940224506259,0.8899235724886801,5260.797640647481,36,0.95,9.380514621816912,1
15-12,PJME,NYUP,316.61636032760543,0.9174623308644392,5864.150702522087,37,0.95,14.041555539724804,1
15-11,PJME,NYCW,81.02077938846139,0.9720055805683624,12006.633536255556,38,0.95,72.03063488759675,1
12-11,NYUP,NYCW,319.03239545042265,0.9166373349747516,2489.0,39,0.95,28.56524406201196,1
12-5,NYUP,ISNE,422.4133412443228,0.8808793230583774,6478.791716428657,40,0.95,14.1394438930266,1
11-5,NYCW,ISNE,208.76319678780865,0.9278510176048604,815.3792948214772,41,0.95,57.67066625317827,1
17-1,RMRG,BASN,1478.968739910536,0.9042512408779786,3750.0,42,0.95,5.4177621211819575,1
17-10,RMRG,NWPP,9335.734366692814,0.8681197287750245,6259.001109576273,43,0.95,1.0,1
17-24,RMRG,SRSG,1451.9389962866967,0.87688689205424,2335.7151398138103,44,0.95,4.194105539220496,1
1-10,BASN,NWPP,2143.6820330805017,0.8618757136715577,3350.0,45,0.95,5.46012581670916,1
1-2,BASN,CANO,1613.3847128003597,0.8766048605148281,100.0,46,0.95,5.916809397671179,1
1-3,BASN,CASO,1052.8154002870249,0.9106395181356858,5920.0,47,0.95,7.032044828324818,1
1-24,BASN,SRSG,1196.8856954277987,0.8729281968055096,5385.0,48,0.95,7.0703167659953365,1
10-2,NWPP,CANO,1302.6110658309303,0.901279622215585,3944.1132518925433,49,0.95,6.1599867206028165,1
10-3,NWPP,CASO,1838.7215148883076,0.8790706842859054,5164.593903641814,50,0.95,5.070817660848888,1
2-3,CANO,CASO,678.496525078502,0.9297057119885508,3675.0,51,0.95,8.529921130502219,1
3-24,CASO,SRSG,670.4280089248628,0.9097977063908044,8680.480758030879,52,0.95,7.689665224719973,1
10-19,NWPP,SPPN,2877.9361274282305,0.8314707744293214,1388.609181425377,53,0.95,3.746829610576136,1
10-9,NWPP,MISW,14040.700523946523,0.7758650777462648,200.0,54,0.95,1.062875564856492,1
17-19,RMRG,SPPN,780.5713741841813,0.9555074295654296,2564.791349953366,55,0.95,4.219334193639501,1
17-18,RMRG,SPPC,936.6269837220768,0.946612263671875,5235.7968359753495,56,0.95,3.94088713845783,1
24-25,SRSG,TRE,1692.23667175099,0.8544432871777949,15644.751069011749,57,0.95,4.360277829624262,1
