case_id,year,flex_resource,ng_price,limitedtransmission,ira,min_cap,existing_clusters,hydrogen_gen,time_reduction,policies,period_years,vre_clusters,econ_retirement,wacc,misc_file,carbon_slack,ccs
base_thin,2030,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,no,standardize_5,no_ramp,base,yes
base_thin,2040,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,no,standardize_5,no_ramp,base,yes
base_thin,2050,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,no,standardize_5,no_ramp,base,yes
base_thin_no_cap,2030,none,reference,no,no,none,thin,greenfield,10_weeks,none,ten,thin,no,standardize_5,no_ramp,none,yes
base_thin_no_cap,2040,none,reference,no,no,none,thin,greenfield,10_weeks,none,ten,thin,no,standardize_5,no_ramp,none,yes
base_thin_no_cap,2050,none,reference,no,no,none,thin,greenfield,10_weeks,none,ten,thin,no,standardize_5,no_ramp,none,yes
base_thin_high_slack,2030,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,no,standardize_5,no_ramp,high,yes
base_thin_high_slack,2040,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,no,standardize_5,no_ramp,high,yes
base_thin_high_slack,2050,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,no,standardize_5,no_ramp,high,yes
base_thin_ramp,2030,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,no,standardize_5,ramp,base,yes
base_thin_ramp,2040,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,no,standardize_5,ramp,base,yes
base_thin_ramp,2050,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,no,standardize_5,ramp,base,yes
base_thin_ramp_retire,2030,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,yes,standardize_5,ramp,base,yes
base_thin_ramp_retire,2040,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,yes,standardize_5,ramp,base,yes
base_thin_ramp_retire,2050,none,reference,no,no,none,thin,greenfield,10_weeks,yes,ten,thin,yes,standardize_5,ramp,base,yes
base,2030,none,reference,no,no,none,none,greenfield,none,yes,ten,none,no,standardize_5,no_ramp,base,yes
base,2040,none,reference,no,no,none,none,greenfield,none,yes,ten,none,no,standardize_5,no_ramp,base,yes
base,2050,none,reference,no,no,none,none,greenfield,none,yes,ten,none,no,standardize_5,no_ramp,base,yes
base_thin_8760,2030,none,reference,no,no,none,thin,greenfield,all_hours,yes,ten,thin,no,standardize_5,no_ramp,base,yes
base_thin_8760,2040,none,reference,no,no,none,thin,greenfield,all_hours,yes,ten,thin,no,standardize_5,no_ramp,base,yes
base_thin_8760,2050,none,reference,no,no,none,thin,greenfield,all_hours,yes,ten,thin,no,standardize_5,no_ramp,base,yes
base_conservative,2045,IRA_CONSERVATIVE,reference,no,no,none,thin,greenfield,all_hours,none,ten,thin,no,standardize_5,no_ramp,base,yes
base_short,2030,none,reference,no,no,none,none,greenfield,10_weeks,yes,ten,none,no,standardize_5,no_ramp,base,yes
base_short,2040,none,reference,no,no,none,none,greenfield,10_weeks,yes,ten,none,no,standardize_5,no_ramp,base,yes
base_short,2050,none,reference,no,no,none,none,greenfield,10_weeks,yes,ten,none,no,standardize_5,no_ramp,base,yes
base_short_no_ccs,2030,none,reference,no,no,none,none,greenfield,10_weeks,yes,ten,none,no,standardize_5,no_ramp,base,no
base_short_no_ccs,2040,none,reference,no,no,none,none,greenfield,10_weeks,yes,ten,none,no,standardize_5,no_ramp,base,no
base_short_no_ccs,2050,none,reference,no,no,none,none,greenfield,10_weeks,yes,ten,none,no,standardize_5,no_ramp,base,no